alarm_id,timestamp,source_system,host,service,severity,alarm_type,message,veri_merkezi,kabin,ortam
ALM-10934,2026-08-04T14:19:31,SyslogNG,ao-040-message,message-queue,1,log_rotate,"Log rotasyonu beklenenden uzun surdu, 91 saniye",dc2,rack-B,prod
ALM-10816,2026-08-04T14:22:10,SyslogNG,ao-052-payment,payment-provider-gw,4,txn_fail,"Islem basarisiz, hata orani yuzde 89",dc2,rack-B,prod
ALM-10901,2026-08-04T14:22:23,AppDynamics,ao-028-order,order-service,4,txn_fail,"Islem basarisiz, hata orani yuzde 91",dc2,rack-B,prod
ALM-10809,2026-08-04T14:22:33,SyslogNG,ao-053-payment,payment-provider-gw,4,txn_fail,"Islem basarisiz, hata orani yuzde 73",dc1,rack-C,prod
ALM-10836,2026-08-04T14:22:36,OBM,ao-027-order,order-service,4,txn_fail,"Islem basarisiz, hata orani yuzde 97",dc1,rack-A,prod
ALM-10780,2026-08-04T14:22:38,OBM,ao-052-payment,payment-provider-gw,4,ext_slow,Dis servis payment-provider-gw yanit suresi 718 ms,dc2,rack-B,prod
ALM-10789,2026-08-04T14:22:41,Prometheus,ao-053-payment,payment-provider-gw,5,ext_slow,Dis servis payment-provider-gw yanit suresi 1297 ms,dc1,rack-C,prod
ALM-10798,2026-08-04T14:22:45,AppDynamics,ao-054-payment,payment-provider-gw,4,ext_slow,Dis servis payment-provider-gw yanit suresi 853 ms,dc2,rack-A,prod
ALM-10790,2026-08-04T14:23:10,SyslogNG,ao-053-payment,payment-provider-gw,4,ext_slow,Dis servis payment-provider-gw yanit suresi 846 ms,dc1,rack-C,prod
ALM-10799,2026-08-04T14:23:24,AppDynamics,ao-054-payment,payment-provider-gw,5,ext_slow,Dis servis payment-provider-gw yanit suresi 1409 ms,dc2,rack-A,prod
ALM-10781,2026-08-04T14:23:24,SyslogNG,ao-052-payment,payment-provider-gw,5,ext_slow,Dis servis payment-provider-gw yanit suresi 873 ms,dc2,rack-B,prod
ALM-10932,2026-08-04T14:23:27,AppDynamics,ao-019-billing,billing-service,5,timeout,payment-provider-gw servisine yapilan cagri zaman asimina ugradi (172 ms),dc1,rack-B,prod
ALM-10915,2026-08-04T14:23:29,OBM,ao-053-payment,payment-provider-gw,4,timeout,payment-provider-gw servisine yapilan cagri zaman asimina ugradi (171 ms),dc1,rack-C,prod
ALM-10895,2026-08-04T14:23:37,SyslogNG,ao-026-payment,payment-service,4,txn_fail,"Islem basarisiz, hata orani yuzde 79",dc2,rack-C,prod
ALM-10917,2026-08-04T14:23:38,Prometheus,ao-027-order,order-service,5,txn_fail,"Islem basarisiz, hata orani yuzde 83",dc1,rack-A,prod
ALM-10858,2026-08-04T14:23:39,Prometheus,ao-028-order,order-service,5,ext_unreach,"Dis servis order-service erisilemiyor, HTTP 503",dc2,rack-B,prod
ALM-10791,2026-08-04T14:23:49,OBM,ao-053-payment,payment-provider-gw,4,ext_slow,Dis servis payment-provider-gw yanit suresi 1667 ms,dc1,rack-C,prod
ALM-10800,2026-08-04T14:23:50,OBM,ao-054-payment,payment-provider-gw,4,ext_slow,Dis servis payment-provider-gw yanit suresi 891 ms,dc2,rack-A,prod
ALM-10849,2026-08-04T14:23:54,AppDynamics,ao-026-payment,payment-service,5,timeout,payment-provider-gw servisine yapilan cagri zaman asimina ugradi (171 ms),dc2,rack-C,prod
ALM-10782,2026-08-04T14:24:00,OBM,ao-052-payment,payment-provider-gw,4,ext_slow,Dis servis payment-provider-gw yanit suresi 1040 ms,dc2,rack-B,prod
ALM-10837,2026-08-04T14:24:05,Zabbix,ao-020-billing,billing-service,4,ext_slow,Dis servis billing-service yanit suresi 808 ms,dc2,rack-C,prod
ALM-10931,2026-08-04T14:24:21,Prometheus,ao-027-order,order-service,4,latency_high,"Yanit suresi p99 esigi asti, 680 ms",dc1,rack-A,prod
ALM-10801,2026-08-04T14:24:23,SyslogNG,ao-054-payment,payment-provider-gw,5,ext_slow,Dis servis payment-provider-gw yanit suresi 1608 ms,dc2,rack-A,prod
ALM-10860,2026-08-04T14:24:24,Prometheus,ao-018-billing,billing-service,4,timeout,payment-provider-gw servisine yapilan cagri zaman asimina ugradi (175 ms),dc2,rack-A,prod
ALM-10792,2026-08-04T14:24:28,Zabbix,ao-053-payment,payment-provider-gw,4,ext_slow,Dis servis payment-provider-gw yanit suresi 1555 ms,dc1,rack-C,prod
ALM-10783,2026-08-04T14:24:33,Zabbix,ao-052-payment,payment-provider-gw,4,ext_slow,Dis servis payment-provider-gw yanit suresi 1685 ms,dc2,rack-B,prod
ALM-10867,2026-08-04T14:24:38,SyslogNG,ao-053-payment,payment-provider-gw,5,txn_fail,"Islem basarisiz, hata orani yuzde 73",dc1,rack-C,prod
ALM-10877,2026-08-04T14:24:39,OBM,ao-054-payment,payment-provider-gw,5,timeout,payment-provider-gw servisine yapilan cagri zaman asimina ugradi (165 ms),dc2,rack-A,prod
ALM-10845,2026-08-04T14:24:42,Prometheus,ao-020-billing,billing-service,4,timeout,payment-provider-gw servisine yapilan cagri zaman asimina ugradi (220 ms),dc2,rack-C,prod
ALM-10899,2026-08-04T14:24:49,AppDynamics,ao-053-payment,payment-provider-gw,5,timeout,payment-provider-gw servisine yapilan cagri zaman asimina ugradi (178 ms),dc1,rack-C,prod
ALM-10886,2026-08-04T14:24:57,Prometheus,ao-020-billing,billing-service,5,txn_fail,"Islem basarisiz, hata orani yuzde 92",dc2,rack-C,prod
ALM-10802,2026-08-04T14:25:00,SyslogNG,ao-054-payment,payment-provider-gw,5,ext_slow,Dis servis payment-provider-gw yanit suresi 1354 ms,dc2,rack-A,prod
ALM-10941,2026-08-04T14:25:08,SyslogNG,ao-001-api,api-gateway,2,ntp_drift,Saat sapmasi 289 ms,dc1,rack-B,prod
ALM-10784,2026-08-04T14:25:08,SyslogNG,ao-052-payment,payment-provider-gw,4,ext_slow,Dis servis payment-provider-gw yanit suresi 1667 ms,dc2,rack-B,prod
ALM-10793,2026-08-04T14:25:09,Prometheus,ao-053-payment,payment-provider-gw,4,ext_slow,Dis servis payment-provider-gw yanit suresi 824 ms,dc1,rack-C,prod
ALM-10803,2026-08-04T14:25:14,AppDynamics,ao-054-payment,payment-provider-gw,5,ext_unreach,"Dis servis payment-provider-gw erisilemiyor, HTTP 504",dc2,rack-A,prod
