alarm_id,timestamp,source_system,host,service,severity,alarm_type,message,veri_merkezi,kabin,ortam
ALM-11075,2026-08-27T03:00:09,Prometheus,ao-042-load,load-balancer,2,network_flap,Arayuz eth0 link durumu 42 kez degisti,dc2,rack-A,prod
ALM-11078,2026-08-27T03:01:11,SyslogNG,ao-008-web,web-bff,1,network_flap,Arayuz eth0 link durumu 29 kez degisti,dc2,rack-C,prod
ALM-10958,2026-08-27T03:02:28,Zabbix,ao-048-batch,batch-scheduler,4,batch_overlap,Toplu is penceresi cakismasi tespit edildi,dc2,rack-A,prod
ALM-11016,2026-08-27T03:02:45,Prometheus,ao-033-subscriber,subscriber-db,3,cpu_high,CPU kullanimi yuzde 94,dc1,rack-A,prod
ALM-11012,2026-08-27T03:02:50,Prometheus,ao-031-subscriber,subscriber-db,4,db_conn_pool,"Baglanti havuzu tukendi, bekleyen istek sayisi 84",dc1,rack-B,prod
ALM-10959,2026-08-27T03:03:08,Prometheus,ao-048-batch,batch-scheduler,4,batch_overlap,Toplu is penceresi cakismasi tespit edildi,dc2,rack-A,prod
ALM-11040,2026-08-27T03:03:24,OBM,ao-032-subscriber,subscriber-db,3,db_conn_pool,"Baglanti havuzu tukendi, bekleyen istek sayisi 86",dc2,rack-C,prod
ALM-11041,2026-08-27T03:03:25,AppDynamics,ao-032-subscriber,subscriber-db,4,db_conn_pool,"Baglanti havuzu tukendi, bekleyen istek sayisi 81",dc2,rack-C,prod
ALM-10960,2026-08-27T03:03:51,OBM,ao-048-batch,batch-scheduler,4,batch_overlap,Toplu is penceresi cakismasi tespit edildi,dc2,rack-A,prod
ALM-11042,2026-08-27T03:04:00,Prometheus,ao-050-reconciliation,reconciliation-batch,4,batch_slow,Toplu is calisma suresi 88 dakikaya ulasti,dc2,rack-C,prod
ALM-11082,2026-08-27T03:04:09,OBM,ao-043-load,load-balancer,3,network_flap,Arayuz eth0 link durumu 44 kez degisti,dc1,rack-B,prod
ALM-11068,2026-08-27T03:04:23,Zabbix,ao-019-billing,billing-service,1,log_rotate,"Log rotasyonu beklenenden uzun surdu, 65 saniye",dc1,rack-B,prod
ALM-11066,2026-08-27T03:04:33,AppDynamics,ao-049-invoice,invoice-batch,1,backup_warn,Yedekleme 82 dakika gecikmeli,dc1,rack-B,prod
ALM-10961,2026-08-27T03:04:37,SyslogNG,ao-048-batch,batch-scheduler,4,batch_overlap,Toplu is penceresi cakismasi tespit edildi,dc2,rack-A,prod
ALM-11062,2026-08-27T03:05:00,Zabbix,ao-031-subscriber,subscriber-db,3,cpu_high,CPU kullanimi yuzde 94,dc1,rack-B,prod
ALM-10962,2026-08-27T03:05:15,Zabbix,ao-048-batch,batch-scheduler,4,batch_overlap,Toplu is penceresi cakismasi tespit edildi,dc2,rack-A,prod
ALM-11025,2026-08-27T03:05:23,Prometheus,ao-032-subscriber,subscriber-db,3,db_conn_pool,"Baglanti havuzu tukendi, bekleyen istek sayisi 98",dc2,rack-C,prod
ALM-10970,2026-08-27T03:05:35,AppDynamics,ao-051-report,report-batch,4,batch_slow,Toplu is calisma suresi 101 dakikaya ulasti,dc1,rack-A,prod
ALM-10963,2026-08-27T03:06:04,Prometheus,ao-050-reconciliation,reconciliation-batch,3,batch_slow,Toplu is calisma suresi 74 dakikaya ulasti,dc2,rack-C,prod
ALM-11071,2026-08-27T03:06:05,AppDynamics,ao-034-billing,billing-db,2,disk_warn,"Disk kullanimi uyari seviyesinde, yuzde 85 dolu",dc2,rack-B,prod
ALM-11084,2026-08-27T03:06:11,OBM,ao-004-mobile,mobile-bff,2,ntp_drift,Saat sapmasi 656 ms,dc2,rack-B,prod
ALM-11063,2026-08-27T03:06:26,SyslogNG,ao-048-batch,batch-scheduler,3,db_conn_pool,"Baglanti havuzu tukendi, bekleyen istek sayisi 101",dc2,rack-A,prod
ALM-10988,2026-08-27T03:06:33,OBM,ao-032-subscriber,subscriber-db,3,db_conn_pool,"Baglanti havuzu tukendi, bekleyen istek sayisi 103",dc2,rack-C,prod
ALM-10999,2026-08-27T03:06:36,OBM,ao-033-subscriber,subscriber-db,3,db_conn_pool,"Baglanti havuzu tukendi, bekleyen istek sayisi 97",dc1,rack-A,prod
ALM-11011,2026-08-27T03:06:36,OBM,ao-033-subscriber,subscriber-db,4,cpu_high,CPU kullanimi yuzde 90,dc1,rack-A,prod
ALM-10977,2026-08-27T03:06:43,Zabbix,ao-031-subscriber,subscriber-db,4,db_conn_pool,"Baglanti havuzu tukendi, bekleyen istek sayisi 94",dc1,rack-B,prod
ALM-10971,2026-08-27T03:07:29,OBM,ao-051-report,report-batch,3,batch_slow,Toplu is calisma suresi 89 dakikaya ulasti,dc1,rack-A,prod
ALM-11058,2026-08-27T03:07:39,Zabbix,ao-048-batch,batch-scheduler,3,cpu_high,CPU kullanimi yuzde 93,dc2,rack-A,prod
ALM-10994,2026-08-27T03:07:40,SyslogNG,ao-032-subscriber,subscriber-db,4,cpu_high,CPU kullanimi yuzde 98,dc2,rack-C,prod
ALM-11005,2026-08-27T03:07:44,OBM,ao-033-subscriber,subscriber-db,3,cpu_high,CPU kullanimi yuzde 92,dc1,rack-A,prod
ALM-10983,2026-08-27T03:07:45,Prometheus,ao-031-subscriber,subscriber-db,3,cpu_high,CPU kullanimi yuzde 86,dc1,rack-B,prod
ALM-11032,2026-08-27T03:07:48,SyslogNG,ao-033-subscriber,subscriber-db,3,cpu_high,CPU kullanimi yuzde 99,dc1,rack-A,prod
ALM-10964,2026-08-27T03:07:57,Zabbix,ao-050-reconciliation,reconciliation-batch,3,batch_slow,Toplu is calisma suresi 84 dakikaya ulasti,dc2,rack-C,prod
ALM-10989,2026-08-27T03:08:24,OBM,ao-032-subscriber,subscriber-db,4,db_conn_pool,"Baglanti havuzu tukendi, bekleyen istek sayisi 81",dc2,rack-C,prod
ALM-11048,2026-08-27T03:08:26,OBM,ao-050-reconciliation,reconciliation-batch,4,db_conn_pool,"Baglanti havuzu tukendi, bekleyen istek sayisi 115",dc2,rack-C,prod
ALM-10978,2026-08-27T03:08:46,SyslogNG,ao-031-subscriber,subscriber-db,3,db_conn_pool,"Baglanti havuzu tukendi, bekleyen istek sayisi 100",dc1,rack-B,prod
ALM-11047,2026-08-27T03:08:48,SyslogNG,ao-050-reconciliation,reconciliation-batch,3,db_conn_pool,"Baglanti havuzu tukendi, bekleyen istek sayisi 99",dc2,rack-C,prod
ALM-11000,2026-08-27T03:08:53,Zabbix,ao-033-subscriber,subscriber-db,3,db_conn_pool,"Baglanti havuzu tukendi, bekleyen istek sayisi 100",dc1,rack-A,prod
ALM-10965,2026-08-27T03:09:31,Zabbix,ao-050-reconciliation,reconciliation-batch,4,batch_slow,Toplu is calisma suresi 81 dakikaya ulasti,dc2,rack-C,prod
ALM-10984,2026-08-27T03:09:34,Zabbix,ao-031-subscriber,subscriber-db,4,cpu_high,CPU kullanimi yuzde 94,dc1,rack-B,prod
ALM-10972,2026-08-27T03:09:46,SyslogNG,ao-051-report,report-batch,4,batch_slow,Toplu is calisma suresi 78 dakikaya ulasti,dc1,rack-A,prod
ALM-10995,2026-08-27T03:09:55,SyslogNG,ao-032-subscriber,subscriber-db,4,cpu_high,CPU kullanimi yuzde 88,dc2,rack-C,prod
ALM-11006,2026-08-27T03:10:00,Zabbix,ao-033-subscriber,subscriber-db,3,cpu_high,CPU kullanimi yuzde 92,dc1,rack-A,prod
ALM-11059,2026-08-27T03:10:17,Zabbix,ao-050-reconciliation,reconciliation-batch,4,cpu_high,CPU kullanimi yuzde 89,dc2,rack-C,prod
ALM-11073,2026-08-27T03:10:22,OBM,ao-018-billing,billing-service,1,log_rotate,"Log rotasyonu beklenenden uzun surdu, 107 saniye",dc2,rack-A,prod
ALM-11080,2026-08-27T03:10:39,SyslogNG,ao-034-billing,billing-db,1,cert_expiry,Sertifika 31 gun icinde suresi dolacak,dc2,rack-B,prod
ALM-10990,2026-08-27T03:10:53,Zabbix,ao-032-subscriber,subscriber-db,3,db_conn_pool,"Baglanti havuzu tukendi, bekleyen istek sayisi 84",dc2,rack-C,prod
ALM-11001,2026-08-27T03:10:54,AppDynamics,ao-033-subscriber,subscriber-db,3,db_conn_pool,"Baglanti havuzu tukendi, bekleyen istek sayisi 109",dc1,rack-A,prod
ALM-10979,2026-08-27T03:10:56,Zabbix,ao-031-subscriber,subscriber-db,3,db_conn_pool,"Baglanti havuzu tukendi, bekleyen istek sayisi 96",dc1,rack-B,prod
ALM-11020,2026-08-27T03:10:58,Zabbix,ao-050-reconciliation,reconciliation-batch,4,db_conn_pool,"Baglanti havuzu tukendi, bekleyen istek sayisi 82",dc2,rack-C,prod
ALM-11079,2026-08-27T03:11:03,Zabbix,ao-019-billing,billing-service,1,cert_expiry,Sertifika 46 gun icinde suresi dolacak,dc1,rack-B,prod
ALM-11074,2026-08-27T03:11:13,Zabbix,ao-028-order,order-service,1,ntp_drift,Saat sapmasi 532 ms,dc2,rack-B,prod
ALM-11033,2026-08-27T03:11:19,AppDynamics,ao-048-batch,batch-scheduler,4,db_conn_pool,"Baglanti havuzu tukendi, bekleyen istek sayisi 93",dc2,rack-A,prod
ALM-11007,2026-08-27T03:11:37,OBM,ao-033-subscriber,subscriber-db,4,cpu_high,CPU kullanimi yuzde 90,dc1,rack-A,prod
ALM-10973,2026-08-27T03:11:40,Zabbix,ao-051-report,report-batch,4,batch_slow,Toplu is calisma suresi 83 dakikaya ulasti,dc1,rack-A,prod
ALM-10996,2026-08-27T03:11:57,SyslogNG,ao-032-subscriber,subscriber-db,4,cpu_high,CPU kullanimi yuzde 97,dc2,rack-C,prod
ALM-10985,2026-08-27T03:11:58,AppDynamics,ao-031-subscriber,subscriber-db,4,cpu_high,CPU kullanimi yuzde 92,dc1,rack-B,prod
