alarm_id,timestamp,source_system,host,service,severity,alarm_type,message,veri_merkezi,kabin,ortam
ALM-10767,2026-07-18T00:42:38,Zabbix,ao-054-payment,payment-provider-gw,2,cert_expiry,Sertifika 31 gun icinde suresi dolacak,dc2,rack-A,prod
ALM-10770,2026-07-18T00:42:38,SyslogNG,ao-044-load,load-balancer,1,log_rotate,"Log rotasyonu beklenenden uzun surdu, 80 saniye",dc2,rack-C,prod
ALM-10756,2026-07-18T00:46:49,Zabbix,ao-039-message,message-queue,1,log_rotate,"Log rotasyonu beklenenden uzun surdu, 83 saniye",dc1,rack-A,prod
ALM-10540,2026-07-18T00:47:25,Prometheus,ao-013-session,session-service,1,mem_high,Bellek kullanimi yuzde 60,dc1,rack-B,prod
ALM-10539,2026-07-18T00:47:27,AppDynamics,ao-012-session,session-service,1,mem_high,Bellek kullanimi yuzde 60,dc2,rack-A,prod
ALM-10541,2026-07-18T00:47:27,AppDynamics,ao-014-session,session-service,1,mem_high,Bellek kullanimi yuzde 60,dc2,rack-C,prod
ALM-10542,2026-07-18T00:54:12,AppDynamics,ao-012-session,session-service,1,mem_high,Bellek kullanimi yuzde 63,dc2,rack-A,prod
ALM-10544,2026-07-18T00:54:13,Prometheus,ao-014-session,session-service,1,mem_high,Bellek kullanimi yuzde 63,dc2,rack-C,prod
ALM-10543,2026-07-18T00:54:27,AppDynamics,ao-013-session,session-service,1,mem_high,Bellek kullanimi yuzde 63,dc1,rack-B,prod
ALM-10751,2026-07-18T00:56:45,OBM,ao-031-subscriber,subscriber-db,2,network_flap,Arayuz eth0 link durumu 41 kez degisti,dc1,rack-B,prod
ALM-10778,2026-07-18T00:58:48,OBM,ao-046-dns,dns-resolver,2,backup_warn,Yedekleme 73 dakika gecikmeli,dc2,rack-B,prod
ALM-10777,2026-07-18T00:59:54,OBM,ao-026-payment,payment-service,1,network_flap,Arayuz eth0 link durumu 57 kez degisti,dc2,rack-C,prod
ALM-10545,2026-07-18T01:01:04,SyslogNG,ao-012-session,session-service,1,mem_high,Bellek kullanimi yuzde 66,dc2,rack-A,prod
ALM-10547,2026-07-18T01:01:20,Prometheus,ao-014-session,session-service,1,mem_high,Bellek kullanimi yuzde 66,dc2,rack-C,prod
ALM-10546,2026-07-18T01:01:34,Prometheus,ao-013-session,session-service,1,mem_high,Bellek kullanimi yuzde 66,dc1,rack-B,prod
ALM-10764,2026-07-18T01:02:35,Prometheus,ao-040-message,message-queue,1,cert_expiry,Sertifika 39 gun icinde suresi dolacak,dc2,rack-B,prod
ALM-10768,2026-07-18T01:03:37,OBM,ao-022-charging,charging-service,2,disk_warn,"Disk kullanimi uyari seviyesinde, yuzde 77 dolu",dc2,rack-B,prod
ALM-10776,2026-07-18T01:04:30,OBM,ao-034-billing,billing-db,2,backup_warn,Yedekleme 54 dakika gecikmeli,dc2,rack-B,prod
ALM-10746,2026-07-18T01:05:38,OBM,ao-020-billing,billing-service,3,network_flap,Arayuz eth0 link durumu 34 kez degisti,dc2,rack-C,prod
ALM-10753,2026-07-18T01:07:43,SyslogNG,ao-055-sms,sms-gateway,1,ntp_drift,Saat sapmasi 426 ms,dc1,rack-B,prod
ALM-10548,2026-07-18T01:08:07,Zabbix,ao-012-session,session-service,1,mem_high,Bellek kullanimi yuzde 69,dc2,rack-A,prod
ALM-10550,2026-07-18T01:08:25,SyslogNG,ao-014-session,session-service,1,mem_high,Bellek kullanimi yuzde 69,dc2,rack-C,prod
ALM-10549,2026-07-18T01:08:33,Zabbix,ao-013-session,session-service,1,mem_high,Bellek kullanimi yuzde 69,dc1,rack-B,prod
