alarm_id,timestamp,source_system,host,service,severity,alarm_type,message,veri_merkezi,kabin,ortam
ALM-10509,2026-06-03T02:08:37,AppDynamics,ao-032-subscriber,subscriber-db,2,log_rotate,"Log rotasyonu beklenenden uzun surdu, 104 saniye",dc2,rack-C,prod
ALM-10536,2026-06-03T02:10:29,OBM,ao-043-load,load-balancer,2,ntp_drift,Saat sapmasi 907 ms,dc1,rack-B,prod
ALM-10410,2026-06-03T02:11:22,AppDynamics,ao-035-billing,billing-db,4,txn_fail,"Islem basarisiz, hata orani yuzde 76",dc1,rack-C,prod
ALM-10423,2026-06-03T02:11:25,AppDynamics,ao-025-payment,payment-service,4,timeout,billing-service servisine yapilan cagri zaman asimina ugradi (163 ms),dc1,rack-B,prod
ALM-10530,2026-06-03T02:11:33,Prometheus,ao-007-web,web-bff,2,cert_expiry,Sertifika 50 gun icinde suresi dolacak,dc1,rack-B,prod
ALM-10294,2026-06-03T02:11:35,SyslogNG,ao-035-billing,billing-db,5,disk_full,"Disk kullanimi kritik seviyede, yuzde 100 dolu",dc1,rack-C,prod
ALM-10340,2026-06-03T02:12:18,AppDynamics,ao-024-payment,payment-service,3,http_5xx,HTTP 5xx hata orani yuzde 56 seviyesine cikti,dc2,rack-A,prod
ALM-10289,2026-06-03T02:12:24,SyslogNG,ao-034-billing,billing-db,5,disk_full,"Disk kullanimi kritik seviyede, yuzde 99 dolu",dc2,rack-B,prod
ALM-10414,2026-06-03T02:12:26,AppDynamics,ao-049-invoice,invoice-batch,4,db_conn_pool,"Baglanti havuzu tukendi, bekleyen istek sayisi 83",dc1,rack-B,prod
ALM-10295,2026-06-03T02:12:35,Prometheus,ao-034-billing,billing-db,5,db_write_fail,"Veritabani yazma islemi basarisiz, hata kodu ORA-19502",dc2,rack-B,prod
ALM-10288,2026-06-03T02:12:36,SyslogNG,ao-034-billing,billing-db,4,disk_full,"Disk kullanimi kritik seviyede, yuzde 98 dolu",dc2,rack-B,prod
ALM-10290,2026-06-03T02:12:37,SyslogNG,ao-034-billing,billing-db,4,disk_full,"Disk kullanimi kritik seviyede, yuzde 100 dolu",dc2,rack-B,prod
ALM-10287,2026-06-03T02:12:38,Zabbix,ao-034-billing,billing-db,4,disk_full,"Disk kullanimi kritik seviyede, yuzde 96 dolu",dc2,rack-B,prod
ALM-10310,2026-06-03T02:12:38,AppDynamics,ao-035-billing,billing-db,4,db_write_fail,"Veritabani yazma islemi basarisiz, hata kodu DB-WRITE-07",dc1,rack-C,prod
ALM-10336,2026-06-03T02:12:38,SyslogNG,ao-023-charging,charging-service,4,http_5xx,HTTP 5xx hata orani yuzde 48 seviyesine cikti,dc1,rack-C,prod
ALM-10291,2026-06-03T02:12:41,AppDynamics,ao-035-billing,billing-db,5,disk_full,"Disk kullanimi kritik seviyede, yuzde 96 dolu",dc1,rack-C,prod
ALM-10384,2026-06-03T02:12:44,Prometheus,ao-026-payment,payment-service,4,txn_fail,"Islem basarisiz, hata orani yuzde 73",dc2,rack-C,prod
ALM-10363,2026-06-03T02:12:45,SyslogNG,ao-036-billing,billing-db,5,timeout,billing-db servisine yapilan cagri zaman asimina ugradi (120 ms),dc2,rack-A,prod
ALM-10293,2026-06-03T02:12:48,Prometheus,ao-035-billing,billing-db,5,disk_full,"Disk kullanimi kritik seviyede, yuzde 99 dolu",dc1,rack-C,prod
ALM-10450,2026-06-03T02:12:51,OBM,ao-028-order,order-service,4,txn_fail,"Islem basarisiz, hata orani yuzde 94",dc2,rack-B,prod
ALM-10298,2026-06-03T02:12:54,SyslogNG,ao-034-billing,billing-db,5,db_write_fail,"Veritabani yazma islemi basarisiz, hata kodu ORA-19502",dc2,rack-B,prod
ALM-10379,2026-06-03T02:12:56,Zabbix,ao-018-billing,billing-service,4,txn_fail,"Islem basarisiz, hata orani yuzde 84",dc2,rack-A,prod
ALM-10356,2026-06-03T02:13:05,SyslogNG,ao-026-payment,payment-service,3,http_5xx,HTTP 5xx hata orani yuzde 75 seviyesine cikti,dc2,rack-C,prod
ALM-10490,2026-06-03T02:13:06,Prometheus,ao-026-payment,payment-service,3,http_5xx,HTTP 5xx hata orani yuzde 50 seviyesine cikti,dc2,rack-C,prod
ALM-10337,2026-06-03T02:13:09,AppDynamics,ao-022-charging,charging-service,3,http_5xx,HTTP 5xx hata orani yuzde 60 seviyesine cikti,dc2,rack-B,prod
ALM-10367,2026-06-03T02:13:14,AppDynamics,ao-019-billing,billing-service,3,latency_high,"Yanit suresi p99 esigi asti, 925 ms",dc1,rack-B,prod
ALM-10339,2026-06-03T02:13:29,Zabbix,ao-020-billing,billing-service,4,db_write_fail,"Veritabani yazma islemi basarisiz, hata kodu IO-ENOSPC",dc2,rack-C,prod
ALM-10321,2026-06-03T02:13:30,AppDynamics,ao-026-payment,payment-service,3,http_5xx,HTTP 5xx hata orani yuzde 43 seviyesine cikti,dc2,rack-C,prod
ALM-10380,2026-06-03T02:13:42,SyslogNG,ao-022-charging,charging-service,5,db_write_fail,"Veritabani yazma islemi basarisiz, hata kodu IO-ENOSPC",dc2,rack-B,prod
ALM-10354,2026-06-03T02:13:43,AppDynamics,ao-028-order,order-service,5,db_write_fail,"Veritabani yazma islemi basarisiz, hata kodu DB-WRITE-07",dc2,rack-B,prod
ALM-10493,2026-06-03T02:13:44,SyslogNG,ao-022-charging,charging-service,4,latency_high,"Yanit suresi p99 esigi asti, 267 ms",dc2,rack-B,prod
ALM-10292,2026-06-03T02:13:44,Zabbix,ao-035-billing,billing-db,4,disk_full,"Disk kullanimi kritik seviyede, yuzde 98 dolu",dc1,rack-C,prod
ALM-10479,2026-06-03T02:13:44,OBM,ao-036-billing,billing-db,3,latency_high,"Yanit suresi p99 esigi asti, 1087 ms",dc2,rack-A,prod
ALM-10314,2026-06-03T02:13:54,Zabbix,ao-027-order,order-service,3,latency_high,"Yanit suresi p99 esigi asti, 225 ms",dc1,rack-A,prod
